Freq[Hz]        [Ohm]           Phase[Deg]
383.18          45.14           -54.95
386.08          38.87           -56.87
388.99          34.03           -57.92
391.94          30.43           -58.74
394.90          26.95           -58.86
397.89          24.65           -58.87
400.89          22.85           -58.73
403.93          21.26           -58.16
406.98          19.89           -57.79
410.06          18.79           -57.19
413.16          17.65           -56.29
416.28          16.69           -55.60
419.43          15.98           -54.64
422.60          15.19           -53.65
425.80          14.57           -52.61
429.02          14.07           -51.31
432.26          13.53           -49.87
435.53          13.26           -48.38
438.82          13.03           -46.66
442.14          13.03           -45.90
445.48          13.07           -45.94
448.85          12.83           -47.15
452.24          12.39           -47.70
455.66          11.83           -47.32
459.11          11.45           -46.60
462.58          11.09           -45.49
466.08          10.76           -44.35
469.60          10.47           -42.91
473.15          10.19           -41.58
476.73          10.00           -40.22
480.34          9.77            -38.69
483.97          9.61            -37.20
487.63          9.45            -35.51
491.31          9.36            -34.01
495.03          9.33            -32.31
498.77          9.35            -30.76
502.54          9.47            -29.31
506.34          9.65            -28.23
510.17          9.91            -27.59
514.03          10.16           -27.64
517.92          10.44           -28.52
521.83          10.53           -30.17
525.78          10.46           -31.87
529.75          10.17           -33.38
533.76          9.92            -34.12
537.80          9.61            -34.40
541.86          9.41            -34.39
545.96          9.17            -34.01
550.09          8.99            -33.55
554.25          8.83            -33.04
558.44          8.69            -32.53
562.66          8.54            -31.93
566.92          8.45            -31.33
571.20          8.33            -30.71
575.52          8.26            -30.12
579.87          8.17            -29.59
584.26          8.12            -29.01
588.68          8.04            -28.45
593.13          7.97            -27.77
597.61          7.91            -27.36
602.13          7.86            -26.75
606.68          7.82            -26.34
611.27          7.76            -25.68
615.89          7.73            -25.19
620.55          7.68            -24.68
625.24          7.65            -24.10
629.97          7.60            -23.71
634.73          7.58            -23.13
639.53          7.55            -22.74
644.37          7.51            -22.13
649.24          7.49            -21.72
654.15          7.45            -21.28
659.10          7.43            -20.76
664.08          7.40            -20.41
669.10          7.38            -19.92
674.16          7.37            -19.53
679.26          7.34            -19.15
684.39          7.32            -18.69
689.57          7.31            -18.35
694.78          7.28            -17.94
700.04          7.27            -17.50
705.33          7.26            -17.14
710.66          7.23            -16.88
716.04          7.21            -16.32
721.45          7.23            -16.12
726.90          7.17            -15.88
732.40          7.19            -15.07
737.94          7.20            -15.41
743.52          7.11            -14.60
749.14          7.19            -14.09
754.81          7.15            -14.50
760.51          7.09            -13.42
766.26          7.17            -13.35
772.06          7.10            -13.50
777.89          7.07            -12.55
783.78          7.13            -12.40
789.70          7.08            -12.52
795.67          7.04            -11.87
801.69          7.09            -11.40
807.75          7.08            -11.47
813.86          7.04            -11.07
820.01          7.05            -10.66
826.21          7.05            -10.47
832.46          7.05            -10.21
838.76          7.04            -9.98
845.10          7.02            -9.68
851.49          7.03            -9.33
857.93          7.03            -9.13
864.41          7.02            -8.94
870.95          7.01            -8.66
877.54          7.01            -8.38
884.17          7.01            -8.08
890.86          7.01            -7.87
897.59          7.00            -7.71
904.38          6.99            -7.44
911.22          6.99            -7.14
918.11          6.99            -6.91
925.05          6.99            -6.70
932.04          6.99            -6.46
939.09          6.99            -6.24
946.19          6.98            -6.03
953.35          6.98            -5.78
960.56          6.98            -5.55
967.82          6.98            -5.31
975.14          6.98            -5.08
982.51          6.98            -4.88
989.94          6.98            -4.65
997.42          6.98            -4.46
1004.97         6.98            -4.22
1012.56         6.98            -4.05
1020.22         6.98            -3.81
1027.94         6.98            -3.64
1035.71         6.98            -3.41
1043.54         6.98            -3.23
1051.43         6.98            -3.01
1059.38         6.98            -2.83
1067.39         6.98            -2.61
1075.46         6.98            -2.44
1083.59         6.98            -2.21
1091.79         6.98            -2.05
1100.04         6.98            -1.78
1108.36         6.98            -1.67
1116.74         6.98            -1.37
1125.18         6.99            -1.28
1133.69         6.98            -1.03
1142.26         6.99            -0.88
1150.90         6.99            -0.68
1159.60         6.99            -0.47
1168.37         6.99            -0.32
1177.21         7.00            -0.09
1186.11         7.00            0.08
1195.08         7.00            0.27
1204.11         7.00            0.46
1213.22         7.01            0.65
1222.39         7.01            0.81
1231.63         7.01            0.99
1240.95         7.01            1.16
1250.33         7.02            1.33
1259.78         7.02            1.51
1269.31         7.02            1.69
1278.91         7.03            1.87
1288.58         7.03            2.04
1298.32         7.03            2.21
1308.14         7.03            2.38
1318.03         7.04            2.57
1328.00         7.04            2.75
1338.04         7.04            2.91
1348.15         7.05            3.08
1358.35         7.05            3.26
1368.62         7.06            3.43
1378.97         7.06            3.60
1389.39         7.06            3.76
1399.90         7.07            3.94
1410.49         7.07            4.10
1421.15         7.08            4.26
1431.90         7.08            4.42
1442.72         7.09            4.58
1453.63         7.09            4.75
1464.62         7.09            4.91
1475.70         7.10            5.08
1486.86         7.10            5.24
1498.10         7.11            5.41
1509.43         7.11            5.58
1520.84         7.12            5.74
1532.34         7.12            5.90
1543.93         7.13            6.06
1555.60         7.14            6.22
1567.36         7.14            6.38
1579.21         7.15            6.54
1591.15         7.15            6.70
1603.19         7.16            6.86
1615.31         7.16            7.01
1627.52         7.17            7.17
1639.83         7.17            7.33
1652.23         7.18            7.48
1664.72         7.19            7.65
1677.31         7.19            7.80
1689.99         7.20            7.96
1702.77         7.20            8.12
1715.64         7.21            8.27
1728.62         7.22            8.43
1741.69         7.22            8.58
1754.86         7.23            8.74
1768.13         7.24            8.90
1781.50         7.24            9.06
1794.97         7.25            9.21
1808.54         7.26            9.36
1822.21         7.27            9.52
1835.99         7.27            9.67
1849.87         7.28            9.82
1863.86         7.29            9.98
1877.95         7.30            10.13
1892.15         7.30            10.28
1906.46         7.31            10.43
1920.88         7.32            10.58
1935.40         7.33            10.74
1950.04         7.33            10.89
1964.78         7.34            11.04
1979.64         7.35            11.20
1994.61         7.36            11.35
2009.69         7.37            11.51
2024.88         7.38            11.65
2040.19         7.39            11.79
2055.62         7.40            11.94
2071.16         7.40            12.09
2086.82         7.41            12.24
2102.60         7.42            12.39
2118.50         7.43            12.53
2134.52         7.44            12.67
2150.66         7.45            12.83
2166.92         7.46            12.98
2183.31         7.47            13.13
2199.82         7.48            13.29
2216.45         7.49            13.43
2233.21         7.50            13.57
2250.09         7.51            13.72
2267.11         7.52            13.86
2284.25         7.53            14.00
2301.52         7.54            14.14
2318.93         7.55            14.27
2336.46         7.56            14.42
2354.13         7.57            14.57
2371.93         7.58            14.72
2389.86         7.59            14.88
2407.93         7.60            15.02
2426.14         7.62            15.16
2444.48         7.63            15.30
2462.97         7.64            15.43
2481.59         7.65            15.55
2500.36         7.66            15.67
2519.26         7.67            15.81
2538.31         7.68            15.97
2557.50         7.69            16.12
2576.84         7.71            16.26
2596.33         7.72            16.40
2615.96         7.73            16.53
2635.74         7.75            16.66
2655.67         7.76            16.78
2675.75         7.77            16.91
2695.98         7.78            17.04
2716.36         7.79            17.17
2736.90         7.80            17.31
2757.60         7.81            17.45
2778.45         7.82            17.59
2799.46         7.84            17.73
2820.63         7.85            17.86
2841.95         7.86            17.98
2863.44         7.87            18.11
2885.09         7.88            18.25
2906.91         7.89            18.39
2928.89         7.90            18.53
2951.04         7.91            18.68
2973.35         7.93            18.83
2995.83         7.94            18.97
3018.48         7.95            19.11
3041.31         7.97            19.25
3064.30         7.98            19.40
3087.47         7.99            19.54
3110.82         8.00            19.69
3134.34         8.02            19.83
3158.04         8.03            19.98
3181.92         8.04            20.13
3205.98         8.06            20.27
3230.22         8.07            20.42
3254.65         8.08            20.56
3279.26         8.10            20.71
3304.05         8.11            20.85
3329.03         8.13            21.00
3354.21         8.14            21.15
3379.57         8.16            21.29
3405.12         8.17            21.43
3430.87         8.19            21.56
3456.81         8.20            21.71
3482.95         8.22            21.85
3509.29         8.23            22.00
3535.82         8.25            22.14
3562.56         8.26            22.29
3589.49         8.28            22.43
3616.63         8.30            22.58
3643.98         8.31            22.72
3671.53         8.33            22.87
3699.30         8.35            23.01
3727.27         8.36            23.16
3755.45         8.38            23.30
3783.85         8.39            23.44
3812.46         8.41            23.59
3841.29         8.43            23.73
3870.33         8.45            23.88
3899.60         8.46            24.02
3929.08         8.48            24.16
3958.79         8.50            24.31
3988.72         8.52            24.45
4018.88         8.54            24.59
4049.27         8.55            24.73
4079.89         8.57            24.88
4110.74         8.59            25.02
4141.82         8.61            25.16
4173.14         8.63            25.31
4204.69         8.65            25.45
4236.49         8.67            25.59
4268.52         8.68            25.74
4300.80         8.70            25.88
4333.32         8.72            26.02
4366.08         8.74            26.16
4399.10         8.76            26.30
4432.36         8.78            26.45
4465.87         8.80            26.59
4499.64         8.82            26.73
4533.67         8.84            26.87
4567.95         8.87            27.02
4602.49         8.89            27.16
4637.29         8.91            27.30
4672.35         8.93            27.44
4707.68         8.95            27.58
4743.28         8.97            27.73
4779.14         8.99            27.87
4815.28         9.01            28.01
4851.69         9.04            28.15
4888.37         9.06            28.29
4925.33         9.08            28.43
4962.58         9.10            28.57
5000.10         9.12            28.71
5037.91         9.15            28.86
5076.00         9.17            29.00
5114.38         9.19            29.14
5153.05         9.22            29.28
5192.02         9.24            29.42
5231.28         9.26            29.56
5270.83         9.29            29.70
5310.69         9.31            29.84
5350.84         9.33            29.98
5391.30         9.36            30.12
5432.07         9.38            30.26
5473.14         9.41            30.41
5514.52         9.43            30.55
5556.22         9.46            30.69
5598.23         9.48            30.83
5640.56         9.51            30.97
5683.21         9.53            31.11
5726.19         9.56            31.25
5769.48         9.58            31.39
5813.11         9.61            31.53
5857.06         9.64            31.67
5901.35         9.66            31.81
5945.97         9.69            31.95
5990.93         9.72            32.09
6036.23         9.74            32.23
6081.87         9.77            32.37
6127.86         9.80            32.52
6174.20         9.83            32.66
6220.88         9.85            32.80
6267.92         9.88            32.94
6315.31         9.91            33.08
6363.06         9.94            33.22
6411.18         9.97            33.36
6459.65         9.99            33.50
6508.50         10.02           33.64
6557.71         10.05           33.78
6607.30         10.08           33.92
6657.26         10.11           34.06
6707.59         10.14           34.20
6758.31         10.17           34.34
6809.41         10.20           34.48
6860.90         10.23           34.62
6912.78         10.26           34.76
6965.05         10.29           34.90
7017.71         10.32           35.04
7070.78         10.36           35.18
7124.24         10.39           35.32
7178.11         10.42           35.46
7232.39         10.45           35.60
7287.07         10.48           35.74
7342.17         10.52           35.88
7397.69         10.55           36.02
7453.63         10.58           36.16
7509.99         10.61           36.30
7566.77         10.65           36.44
7623.99         10.68           36.58
7681.63         10.72           36.72
7739.72         10.75           36.86
7798.24         10.78           37.00
7857.20         10.82           37.14
7916.61         10.85           37.28
7976.47         10.89           37.42
8036.79         10.93           37.56
8097.56         10.96           37.70
8158.78         11.00           37.84
8220.47         11.03           37.98
8282.63         11.07           38.12
8345.26         11.11           38.26
8408.36         11.14           38.40
8471.94         11.18           38.54
8536.00         11.22           38.68
8600.54         11.26           38.82
8665.57         11.30           38.96
8731.10         11.33           39.10
8797.12         11.37           39.24
8863.63         11.41           39.38
8930.65         11.45           39.52
8998.18         11.49           39.66
9066.22         11.53           39.80
9134.77         11.57           39.94
9203.84         11.61           40.08
9273.44         11.65           40.21
9343.56         11.69           40.36
9414.21         11.74           40.49
9485.39         11.78           40.63
9557.11         11.82           40.77
9629.38         11.86           40.91
9702.19         11.91           41.05
9775.55         11.95           41.19
9849.46         11.99           41.33
9923.94         12.04           41.46
9998.98         12.08           41.60
10074.58        12.13           41.73
10150.76        12.18           41.85
10227.51        12.22           41.98
10304.85        12.26           42.12
10382.76        12.31           42.26
10461.27        12.35           42.40
10540.37        12.40           42.54
10620.07        12.45           42.67
10700.37        12.49           42.81
10781.28        12.54           42.95
10862.80        12.59           43.09
10944.94        12.64           43.21
11027.70        12.68           43.33
11111.08        12.73           43.48
11195.10        12.78           43.62
11279.75        12.83           43.76
11365.04        12.88           43.90
11450.97        12.93           44.03
11537.56        12.98           44.17
11624.79        13.03           44.31
11712.69        13.08           44.45
11801.26        13.13           44.59
11890.49        13.19           44.72
11980.40        13.24           44.86
12070.99        13.29           44.99
12162.26        13.35           45.12
12254.22        13.40           45.25
12346.88        13.45           45.39
12440.24        13.51           45.53
12534.30        13.56           45.67
12629.08        13.62           45.80
12724.57        13.68           45.94
12820.79        13.73           46.07
12917.73        13.79           46.21
13015.40        13.85           46.34
13113.82        13.91           46.47
13212.98        13.96           46.61
13312.88        14.02           46.74
13413.55        14.08           46.87
13514.97        14.14           47.00
13617.16        14.20           47.13
13720.13        14.26           47.27
13823.87        14.33           47.40
13928.39        14.39           47.53
14033.71        14.45           47.66
14139.82        14.51           47.79
14246.74        14.58           47.92
14354.46        14.64           48.05
14463.00        14.70           48.18
14572.36        14.77           48.31
14682.55        14.83           48.44
14793.57        14.90           48.57
14905.43        14.97           48.70
15018.13        15.03           48.82
15131.69        15.10           48.95
15246.11        15.17           49.08
15361.39        15.24           49.21
15477.54        15.30           49.33
15594.57        15.37           49.46
15712.49        15.44           49.58
15831.29        15.52           49.71
15951.00        15.59           49.83
16071.61        15.66           49.96
16193.13        15.73           50.08
16315.57        15.80           50.21
16438.94        15.87           50.33
16563.24        15.95           50.46
16688.48        16.02           50.58
16814.67        16.10           50.71
16941.81        16.18           50.83
17069.91        16.26           50.92
17198.98        16.33           51.04
17329.03        16.40           51.17
17460.06        16.48           51.30
17592.08        16.56           51.42
17725.10        16.64           51.54
17859.13        16.72           51.66
17994.17        16.80           51.78
18130.23        16.88           51.89
18267.32        16.96           52.01
18405.44        17.04           52.13
18544.61        17.12           52.25
18684.83        17.21           52.37
18826.12        17.29           52.49
18968.46        17.38           52.60
19111.89        17.46           52.71
19256.40        17.55           52.82
19402.01        17.63           52.94
19548.71        17.72           53.05
19696.53        17.81           53.17
19845.46        17.90           53.28
19995.52        17.99           53.40
20146.71        18.08           53.51
20299.04        18.17           53.61
20452.53        18.26           53.71
20607.18        18.35           53.83
20763.00        18.45           53.93
20920.00        18.54           54.03
21078.18        18.64           54.12
21237.56        18.73           54.21
21398.14        18.81           54.33
21559.94        18.90           54.45
21722.96        19.00           54.58
21887.22        19.10           54.69
22052.71        19.21           54.79
22219.46        19.30           54.85
